Date,Open,High,Low,Close,Adj Close,Volume
2017-12-04,534.250000,540.599976,529.700012,534.900024,534.236633,127142
2017-12-05,535.000000,537.450012,531.000000,533.750000,533.088013,159893
2017-12-06,533.000000,535.000000,528.000000,530.000000,529.342651,122000
2017-12-07,534.500000,537.500000,529.900024,534.150024,533.487549,135115
2017-12-08,536.049988,544.500000,536.049988,542.450012,541.777222,188116
2017-12-11,549.900024,552.349976,543.000000,543.500000,542.825928,826109
2017-12-12,547.000000,547.000000,535.200012,538.299988,537.632385,104734
2017-12-13,538.000000,542.200012,533.250000,534.950012,534.286560,152988
2017-12-14,536.000000,543.700012,534.900024,541.599976,540.928284,95006
2017-12-15,545.000000,551.450012,543.400024,548.099976,547.420166,639258
2017-12-18,542.000000,553.700012,530.849976,548.250000,547.570007,1136394
2017-12-19,549.950012,555.500000,545.250000,552.849976,552.164307,121182
2017-12-20,550.000000,557.000000,548.500000,554.900024,554.211792,127214
2017-12-21,553.900024,556.500000,545.700012,549.400024,548.718628,196795
2017-12-22,549.400024,554.799988,547.250000,553.500000,552.813538,1026790
2017-12-26,555.750000,556.950012,550.150024,554.349976,553.662415,1345595
2017-12-27,552.500000,560.250000,551.250000,554.549988,553.862183,116135
2017-12-28,544.349976,553.099976,544.349976,547.400024,546.721130,244602
2017-12-29,547.400024,566.000000,547.400024,562.400024,561.702515,245404
2018-01-01,562.400024,569.599976,560.200012,564.849976,564.149414,469205
2018-01-02,563.349976,568.500000,556.250000,559.700012,559.005859,237026
2018-01-03,560.049988,565.500000,555.500000,560.349976,559.655029,193494
2018-01-04,564.950012,564.950012,557.849976,559.299988,558.606323,109668
2018-01-05,562.000000,567.000000,557.200012,563.099976,562.401611,188627
2018-01-08,563.150024,567.549988,563.099976,565.349976,564.648804,110666
2018-01-09,565.000000,572.450012,564.000000,565.150024,564.449097,133487
2018-01-10,566.900024,568.000000,560.900024,562.549988,561.852295,134285
2018-01-11,561.950012,563.049988,554.200012,558.250000,557.557617,109629
2018-01-12,560.000000,563.650024,552.849976,555.750000,555.060730,116666
2018-01-15,555.750000,564.299988,555.750000,560.700012,560.004578,141381
2018-01-16,561.549988,566.950012,556.250000,558.750000,558.057007,1051941
2018-01-17,561.000000,588.000000,560.000000,584.750000,584.024780,432979
2018-01-18,599.700012,599.700012,578.200012,583.700012,582.976074,446690
2018-01-19,586.700012,594.900024,581.299988,590.250000,589.517944,271011
2018-01-22,591.000000,621.349976,583.150024,611.049988,610.292114,1473415
2018-01-23,616.099976,627.500000,611.450012,618.900024,618.132446,822119
